Taxon,Population,Mother tree voucher,Year planted,Current status
Eucalyptus brockwayi,"Norseman 3, WA",2168,1999,Mature
Eucalyptus brookeriana,"Bullarto South, VIC",4513,2004,Mature
Eucalyptus brookeriana,"Little Swanport, TAS",1988,1998,Mature
Eucalyptus brookeriana,"Rosebery, TAS",1967,1998,Dead
Eucalyptus brookeriana,"Tullah, TAS",1965,1998,Dead
Eucalyptus broviniensis,"Brovinia State Forest, QLD",6478,2013,Immature
Eucalyptus brownii,"Pentland, QLD",1293,1996,Mature
Eucalyptus brunnea,"Wallangarra, QLD",669,1994,Mature
Eucalyptus brunnea,"Wallangarra, QLD",669,1998,Mature
Eucalyptus bunyip (E. camphora subsp. humeana × E. strzeleckii),"Bunyip State Park, VIC",6782,2015,Immature
Eucalyptus buprestium,"Wellstead, WA",223,1994,Matured then died
Eucalyptus buprestium,"Woogenellup, WA",6703,2015,Immature
Eucalyptus burdettiana,"East Mount Barren, WA",2246,1999,Mature
Eucalyptus burgessiana,"Faulconbridge 1, NSW",623,2000,Dead
Eucalyptus burgessiana,"Faulconbridge 2, NSW",7359,2018,Immature
Eucalyptus burgessiana (E. obstans),"Royal Nat. Park, NSW",620,1999,Mature
Eucalyptus burracoppinensis,"Hyden, WA",306,1993,Mature
Eucalyptus burracoppinensis,"Hyden, WA",306,1999,Mature
Eucalyptus cadens,"Wangaratta, VIC",1772,1997,Mature
Eucalyptus caesia subsp. 'Boyagin',"Boyagin Rock, WA",5542,2011,Immature
Eucalyptus caesia subsp. caesia,"Chingah Hills, WA",6682,2015,Immature
Eucalyptus caesia subsp. caesia,"King Rocks, WA",3679,2001,Mature
Eucalyptus caesia subsp. caesia,"Kokerbin Hill, WA",3683,2001,Mature
